kundennummer;firma;datum;art;netto;brutto;quelle
10004;Systego UG;2021-04-22;INVOICE;7400.0;8806.0;lexoffice_alt
10008;TBO Treuhand â Beratung â Organisation GmbH WirtschaftsÂ­prÃ¼fungsÂ­gesellschaft & TBO GbR;2021-04-30;INVOICE;500.0;595.0;lexoffice_alt
10008;TBO Treuhand â Beratung â Organisation GmbH WirtschaftsÂ­prÃ¼fungsÂ­gesellschaft & TBO GbR;2021-05-12;INVOICE;1000.0;1190.0;lexoffice_alt
10023;Haas und Partner Haustechnik GmbH;2021-05-18;INVOICE;7400.0;8806.0;lexoffice_alt
10028;Obermaier GmbH;2021-05-19;INVOICE;7400.0;8806.0;lexoffice_alt
10038;Engizek Immobilien & Finanzierung GmbH;2021-05-31;INVOICE;1000.0;1190.0;lexoffice_alt
10041;Meisterbetrieb Oestreich;2021-06-01;INVOICE;7400.0;8806.0;lexoffice_alt
10043;Haustechnik PrÃ¤g GmbH;2021-06-02;INVOICE;7400.0;8806.0;lexoffice_alt
10044;Fred Schroeder;2021-06-02;INVOICE;7400.0;8806.0;lexoffice_alt
10046;AGP Personalberatung AG;2021-06-16;INVOICE;3650.0;3650.0;lexoffice_alt
10051;KÃ¤lte- Klima-Technik GmbH Baumann;2021-06-29;INVOICE;7400.0;8806.0;lexoffice_alt
10054;KÃ¶pfer GebÃ¤udetechnik GmbH;2021-07-01;INVOICE;7400.0;8806.0;lexoffice_alt
10055;Johannes Willeke e.K.;2021-07-02;INVOICE;7400.0;8806.0;lexoffice_alt
10052;Fresh Food Fast GmbH;2021-07-02;INVOICE;13420.0;15969.8;lexoffice_alt
10059;Zickermann GmbH bad & heizung;2021-07-07;INVOICE;7400.0;8806.0;lexoffice_alt
10061;Rendle SanitÃ¤rtechnik GmbH;2021-07-08;INVOICE;8200.0;9758.0;lexoffice_alt
10062;PARTUT Elektromeisterbetrieb Inh. Dominik Schmidt;2021-07-12;INVOICE;7400.0;8806.0;lexoffice_alt
10063;Baer Heizung, SanitÃ¤r, Solar GmbH;2021-07-14;INVOICE;9200.0;10948.0;lexoffice_alt
10064;Riedle Heiztech & BÃ¤derwelten GmbH;2021-07-21;INVOICE;9200.0;10948.0;lexoffice_alt
10070;KHT GmbH Koch Haustechnik;2021-08-03;INVOICE;9200.0;10948.0;lexoffice_alt
10023;Haas und Partner Haustechnik GmbH;2021-08-18;INVOICE;-5550.0;-6604.5;lexoffice_alt
10081;ESKA Elektrotechnik GmbH & Co. KG;2021-08-31;INVOICE;9200.0;10948.0;lexoffice_alt
10077;Solarenergische GmbH;2021-09-01;INVOICE;9200.0;10948.0;lexoffice_alt
10082;Langer Elektro-SanitÃ¤r-Heizung GmbH;2021-09-03;INVOICE;9200.0;10948.0;lexoffice_alt
